Lower tier local authorities,TSNE1,TSNE2
Adur,-24.951609,0.001548913
Allerdale,-9.540692,4.6359787
Amber Valley,-4.0080943,4.6665654
Arun,9.511885,-3.615732
Ashfield,-4.2478395,6.8007884
Ashford,-6.763444,-2.3270795
Aylesbury Vale,1.5030386,-8.067357
Babergh,-19.239992,3.3016644
Barking and Dagenham,8.531257,3.1080105
Barnet,22.206823,1.4172359
Barnsley,15.97829,6.877325
Barrow-in-Furness,-12.869537,8.809204
Basildon,10.019925,-1.2005285
Basingstoke and Deane,-0.0705072,-7.8488383
Bassetlaw,-4.6343274,5.245819
Bath and North East Somerset,5.042858,-2.798573
Bedford,2.1646628,-4.1192527
Bexley,14.895496,0.88078487
Birmingham,28.459606,5.775624
Blaby,-18.212246,1.2289065
Blackburn with Darwen,5.5563483,6.6191864
Blackpool,11.211357,-6.53229
Blaenau Gwent,-11.664853,9.892294
Bolsover,-11.546483,9.190893
Bolton,17.93005,5.2896953
Boston,-23.854376,-2.2388597
Bournemouth,8.560506,-1.3448446
Bracknell Forest,-10.977555,-7.460601
Bradford,25.962326,4.7074065
Braintree,-1.3708652,-4.7965207
Breckland,-1.2774109,2.6110358
Brent,23.060978,-0.6881812
Brentwood,-24.61556,5.586211
Bridgend,7.866107,5.8119154
Brighton and Hove,21.34937,-0.05014097
"Bristol, City of",25.039341,3.4805636
Broadland,-3.2766223,-3.971129
Bromley,20.726944,2.7969482
Bromsgrove,-13.896004,-2.8183138
Broxbourne,-18.023602,2.294157
Broxtowe,-8.371097,0.81665003
Burnley,-10.905517,7.8931694
Bury,10.699425,-1.0264918
Caerphilly,12.066881,5.5790854
Calderdale,11.220801,-0.056226704
Cambridge,1.0943326,10.386013
Camden,20.688776,-4.726517
Cannock Chase,-8.790861,5.8495836
Canterbury,4.2303514,-1.3782667
Cardiff,24.73637,2.456652
Carlisle,-7.975332,4.47391
Carmarthenshire,12.681752,-5.5703936
Castle Point,-16.631086,3.9290626
Central Bedfordshire,15.0151415,-0.71775407
Ceredigion,-14.877847,6.1610036
Charnwood,4.0733285,-2.695355
Chelmsford,1.2936617,-7.337357
Cheltenham,-8.954606,-9.80794
Cherwell,-2.0673382,-5.8748956
Cheshire East,22.96115,5.127404
Cheshire West and Chester,21.660984,5.2227006
Chesterfield,-6.4024696,6.164287
Chichester,-5.7500753,-6.559116
Chiltern,-22.904387,8.1637945
Chorley,-9.239002,0.49756378
Christchurch,-26.66368,0.04558218
City of London,-30.428469,-0.7786208
Colchester,4.4162073,-3.5434804
Conwy,-1.7668343,-0.6421819
Copeland,-21.749418,-2.6431222
Corby,-24.805666,-2.8845642
Cornwall,25.648241,6.543614
Cotswold,-21.652386,5.164702
County Durham,26.411173,5.8040056
Coventry,25.193066,1.0185496
Craven,-26.943712,1.2898706
Crawley,-15.685421,-0.48043913
Croydon,22.69212,1.9479554
Dacorum,-1.9691782,-7.8611407
Darlington,-8.543805,3.1420674
Dartford,-17.942572,0.2692654
Daventry,-22.683008,3.4752302
Denbighshire,-6.0431113,1.4889711
Derby,16.294764,3.9032211
Derbyshire Dales,-23.800169,3.4044473
Doncaster,19.36254,7.665879
Dover,-4.4004555,1.3540587
Dudley,20.012884,6.4280295
Ealing,22.702267,0.35131776
East Cambridgeshire,-22.014097,3.6734035
East Devon,2.0791192,-10.213951
East Dorset,-13.362433,-3.0246065
East Hampshire,-6.7370977,-8.211429
East Hertfordshire,-3.6402707,-9.710678
East Lindsey,10.290212,-6.5587006
East Northamptonshire,-19.264383,1.7023224
East Riding of Yorkshire,22.237465,5.468702
East Staffordshire,-8.282947,3.8738966
Eastbourne,-5.9441705,-0.30717587
Eastleigh,-8.571178,-6.8368926
Eden,-27.872221,1.818001
Elmbridge,-4.181678,-11.312845
Enfield,22.598925,-0.4053002
Epping Forest,-4.353856,-6.279749
Epsom and Ewell,-25.139807,6.1814017
Erewash,-5.556323,4.6877685
Exeter,-10.6629925,-10.871741
Fareham,-8.75989,-7.694611
Fenland,-9.740405,5.4626474
Flintshire,4.2764444,3.7738953
Folkestone and Hythe,-4.2721744,0.044339977
Forest Heath,-26.28704,-1.5550809
Forest of Dean,-17.520298,3.2311542
Fylde,-13.579464,-1.9432362
Gateshead,13.095879,5.092905
Gedling,-7.9990478,0.03395889
Gloucester,-7.3150096,2.952961
Gosport,-20.397537,-0.4145549
Gravesham,-14.487778,1.6904958
Great Yarmouth,-8.813727,6.6113424
Greenwich,19.886606,-1.4040936
Guildford,-5.0496607,-12.640781
Gwynedd,-1.0191777,0.69877726
Hackney,22.427053,-3.139994
Halton,3.2865882,6.101897
Hambleton,-19.60111,4.8752384
Hammersmith and Fulham,5.202609,-9.028095
Harborough,-22.620653,5.3749638
Haringey,22.003077,-2.572309
Harlow,-20.878555,-0.9430451
Harrogate,0.95365465,-8.63815
Harrow,18.640547,-1.7232128
Hart,-24.308203,7.937806
Hartlepool,-9.780178,8.6874485
Hastings,-6.318711,1.3662363
Havant,-3.5604298,0.7891661
Havering,15.254092,1.0274881
"Herefordshire, County of",11.11045,-3.528135
Hertsmere,-14.625056,-3.3939924
High Peak,-16.049309,2.4578643
Hillingdon,19.23027,-0.39238885
Hinckley and Bosworth,-11.3598175,0.79315865
Horsham,-3.5171745,-8.968441
Hounslow,19.020775,-0.93660593
Huntingdonshire,0.62965053,-6.976551
Hyndburn,-11.8198185,7.928625
Ipswich,-1.6489407,5.880652
Isle of Anglesey,-22.867725,0.3105036
Isle of Wight,8.893268,-5.33035
Isles of Scilly,-30.525852,-0.7486185
Islington,21.31985,-4.426979
Kensington and Chelsea,4.8980584,-9.534764
Kettering,-17.370539,1.0889609
King's Lynn and West Norfolk,8.22411,-4.997275
"Kingston upon Hull, City of",16.337336,7.71168
Kingston upon Thames,3.7432418,-7.064701
Kirklees,24.68251,4.692472
Knowsley,7.257047,6.7771225
Lambeth,20.598986,-2.734898
Lancaster,3.4903917,-0.62016416
Leeds,27.588263,5.8276553
Leicester,25.68625,-0.45822853
Lewes,-9.571602,-3.1319695
Lewisham,21.152067,-1.51164
Lichfield,-10.936858,-1.1597432
Lincoln,-14.229059,4.8586254
Liverpool,27.016153,4.4499526
Luton,8.66602,2.6543176
Maidstone,0.86954963,-5.9514313
Maldon,-25.896635,1.3453567
Malvern Hills,-20.196627,6.107624
Manchester,27.433744,4.083576
Mansfield,-5.6224966,7.042662
Medway,16.29542,2.4098113
Melton,-28.104849,-0.9630343
Mendip,-6.7198,-3.138996
Merthyr Tydfil,-12.723361,9.902686
Merton,4.995582,-7.284117
Mid Devon,-23.505207,2.5388308
Mid Suffolk,-18.928217,4.109816
Mid Sussex,-2.6697822,-9.053922
Middlesbrough,5.350002,7.100475
Milton Keynes,13.985798,-0.06255238
Mole Valley,-23.07582,7.1620927
Monmouthshire,-11.988228,-2.0705602
Neath Port Talbot,8.881685,6.210728
New Forest,11.344146,-2.5936117
Newark and Sherwood,-4.899375,3.8357656
Newcastle upon Tyne,25.270945,0.56713337
Newcastle-under-Lyme,-2.1027684,4.672925
Newham,24.859364,-1.4223003
Newport,6.3858814,5.563053
North Devon,-11.825087,3.1571794
North Dorset,-25.380236,2.31393
North East Derbyshire,-7.113058,5.1205406
North East Lincolnshire,5.3873887,4.038628
North Hertfordshire,-5.556643,-8.899328
